"gdp_2020","geofips"
"7624104",8014
"889873",8015
"158887",8017
"536997",8019
"211334",8021
"102964",8023
"123203",8025
"152064",8027
"943244",8029
"80351429",8031
"93149",8033
"19939267",8035
"4196982",8037
"791772",8039
"38471561",8041
"1541983",8043
"3410295",8045
"572696",8047
"1039863",8049
"1079264",8051
"39045",8053
"281954",8055
"103274",8057
"34067334",8059
"88678",8061
"430928",8063
"316084",8065
"2950994",8067
"21593417",8069
"548165",8071
"429769",8073
"1064586",8075
"6776747",8077
"57847",8079
"1083773",8081
"1095127",8083
"1724181",8085
"1566694",8087
"642203",8089
"251691",8091
"496097",8093
"206144",8095
"2256451",8097
"476734",8099
"6493531",8101
"484285",8103
"486850",8105
"2040265",8107
"214519",8109
"59434",8111
"667080",8113
"85248",8115
"2755438",8117
"1030816",8119
"193598",8121
"16710143",8123
"493372",8125
"276422928",9000
"92249059",9001
"83845669",9003
"8566317",9005
"9606510",9007
"53026077",9009
"18177091",9011
"5858975",9013
"5093230",9015
"75786492",10000
"8973785",10001
"52904007",10003
"13908700",10005
"144554763",11000
"144554763",11001
"1106035527",12000
"15025446",12001
"746274",12003
"9090224",12005
"694441",12007
"27692408",12009
"111171413",12011
"275432",12013
"6072767",12015
"4551508",12017
"5816227",12019
"21082482",12021
"2348906",12023
"1043216",12027
"333186",12029
"70802325",12031
"16775506",12033
"3158635",12035
"398851",12037
"1394507",12039
"466051",12041
"381951",12043
"466369",12045
"557159",12047
"1102097",12049
"1363555",12051
"4673865",12053
"2705451",12055
"96832749",12057
"429303",12059
"7020432",12061
"1434852",12063
"306129",12065
"153806",12067
"11148040",12069
"34536218",12071
"15826460",12073
"988471",12075
"215687",12077
"449678",12079
"16600436",12081
"11373344",12083
"8272639",12085
"164519091",12086
"5260914",12087
"2990571",12089
"13046376",12091
"1838657",12093
"97472030",12095
"11679997",12097
"89360985",12099
"14704099",12101
"53058827",12103
"29339334",12105
"2394942",12107
"10667932",12109
"10384875",12111
"5194832",12113
"22885387",12115
"23796158",12117
"4663965",12119
"1204370",12121
"726394",12123
"342062",12125
"19649448",12127
"806371",12129
"3631071",12131
"638343",12133
"622627849",13000
"1742236",13001
"253660",13003
"395691",13005
"68982",13007
"1408986",13009
"386862",13011
"2446906",13013
"5158726",13015
"568345",13017
"398418",13019
"8569320",13021
"255812",13023
"266586",13025
"486342",13027
"1134992",13029
"2648786",13031
"3395322",13033
"748982",13035
"131999",13037
"1943710",13039
"295075",13043
"4866042",13045
"1614500",13047
"228198",13049
"18578674",13051
"1723603",13053
"531709",13055
"8641831",13057
"8008007",13059
"106776",13061
"14278871",13063
"287848",13065
"56186301",13067
"1549248",13069
"1585794",13071
"4486234",13073
"413455",13075
"5236483",13077
"157534",13079
"915192",13081
"422238",13083
"926989",13085
"878941",13087
"42318939",13089
"450471",13091
"392812",13093
"4632629",13095
"4912010",13097
"530054",13099
"48352",13101
"2258635",13103
"681832",13105
"732639",13107
"387037",13109
"792393",13111
"5570258",13113
"4094372",13115
"10844190",13117
"838259",13119
"183095901",13121
"874899",13123
"35960",13125
"4132649",13127
"2345210",13129
"679219",13131
"769799",13133
"51246313",13135
"1538556",13137
"11879587",13139
"178772",13141
"858773",13143
"569659",13145
"846739",13147
"1270669",13149
"7215273",13151
"7442706",13153
"227396",13155
"3537924",13157
"314347",13159
"457164",13161
"569211",13163
"168770",13165
"133024",13167
"491107",13169
"464673",13171
"146692",13173
"1861540",13175
"781580",13177
"3861236",13179
"141118",13181
"189002",13183
"5328103",13185
"947883",13187
"698187",13189
"263702",13191
"366581",13193
"516132",13195
"117062",13197
"626314",13199
"230063",13201
"803332",13205
"1300018",13207
"170950",13209
"935254",13211
"1311847",13213
"11264737",13215
"3210142",13217
"1678575",13219
"273656",13221
"3450917",13223
"956032",13225
"1050745",13227
"462025",13229
"378150",13231
"1224041",13233
"304313",13235
"613768",13237
"39683",13239
"637323",13241
"195286",13243
"12715694",13245
"4124951",13247
"119153",13249
"333104",13251
"308298",13253
"2199208",13255
"958039",13257
"139506",13259
"1100073",13261
"113544",13263
"27445",13265
"592645",13267
"216954",13269
"296935",13271
"230365",13273
"2241683",13275
"2073366",13277
"1039493",13279
"394828",13281
"108932",13283
"3669460",13285
"228435",13287
"274918",13289
"893246",13291
"732640",13293
"1503400",13295
"2865649",13297
"1480875",13299
"170717",13301
"646173",13303
"1098600",13305
"65442",13307
"107436",13309
"925169",13311
"5783239",13313
"151163",13315
"287037",13317
"541022",13319
"373638",13321
"82884589",15000
"8429090",15001
"62123839",15003
"3627285",15007
"8704375",15901
"83821578",16000
"29837199",16001
"135128",16003
"3004193",16005
"191488",16007
"375427",16009
"1540383",16011
"1592768",16013
"193507",16015
"1699808",16017
"6355838",16019
"423405",16021
"1290269",16023
"75111",16025
"7053777",16027
"690647",16029
"1418295",16031
"46390",16033
"370741",16035
"180630",16037
"1287726",16039
"397391",16041
"419333",16043
"449540",16045
"1115369",16047
"494852",16049
"939126",16051
"1203598",16053
"6798702",16055
"1431532",16057
"270538",16059
"164254",16061
"237197",16063
"1390021",16065
"925922",16067
"2216714",16069
"130684",16071
"394398",16073
"852382",16075
"484889",16077
"557382",16079
"388836",16081
"3779161",16083
"523026",16085
"493999",16087
"858366873",17000
"3515923",17001
"164057",17003
"586347",17005
"1863983",17007
"533364",17009
"1298872",17011
"95906",17013
"613071",17015
"676249",17017
"11460999",17019
"1410030",17021
"566139",17023
"588691",17025
